391	~a series of questions.  If you cooperate,	
392	~this will be easy; if not, it will be,	
393	~well, more entertaining."	
394	"Welcome back.  Once again, I will ask	
395	~you a series of questions."	
396	"Excuse me."	
397	"Hi."	
398	"Ahem."	
399	"What?"	
400	"Hey! Don't touch that!"	
401	"Where am I?"	
402	"Examination!?  What examination?"	
403	"Breeding stock?  That doesn't sound so bad."	
404	"Why do you need me?"	
405	"What is a 'Gender Bender', anyway?"	
406	"Where are all the men?"	
407	"So what's a transmorph?"	
408	"Who are you?"	
409	"Would you mind untying me?"	
410	"Do you know anything about a precious vase?"	
411	"Can you tell me about these art collections?"	
412	"Never mind."	
413	"(Cheat Option)."	
414	"You are in our medical facility,	
415	~awaiting examination."	
416	"We need to determine if your genes	
417	~are worthy to be mixed with ours.	
418	~If so, you will serve as breeding	
419	~stock.  If not, you will serve as	
420	~fertilizer."	
421	"You would probably enjoy it.  Then	
422	~again, there may be some discomfort	
423	~between the 600th and 800th times.	
424	~Naturally, the second day is worse."	
425	"Because we need to continue our	
426	~race.  Since there are no men	
427	~around, we must either use the	
428	~dreaded Gender Bender or capture	
429	~the occasional stranger, such as	
430	~yourself."	
431	"It's a machine that changes the	
432	~user's sex.  We disgrace ourselves	
433	~by using it, but it's the only way	
434	~to continue our race.  Unfortunately,	
435	~the effect wears off at unpredictable	
436	~times, so there are some awkward	
437	~moments."	
438	"They all died when we won the Great	
439	~Gender War.  Thanks to the Gender	
440	~Bender we had no need for their filth.	
441	~Of course the occasional pet such as	
442	~yourself can be useful."	
443	"'Transmorph' is a villager term for	
444	~a Keeper who has had her gender bent.	
445	~They don't think much of our machine,	
446	~and blame us for the lack of men, but	
447	~they serve their purpose."	
448	"I am Doctor Slache's assistant.  I	
449	~provide her with sharp instruments	
450	~and clean up after her 'examinations'.	
451	~This is fun.  I don't talk to many	
452	~REAL men."	
453	"Sorry, I can't do that.  As much as I'd	
454	~like to, you're a patient and we must	
455	~have a look at you."	
456	"Vase?  No.  Sorry.  I'm not much into	
457	~art.  Too bad for you the men are all	
458	~dead.  I heard they used to consider	
459	~art collections a status symbol.  The	
460	~richer ones had huge collections."	
461	"Do I look like a history teacher?	
462	~I don't know who had what; that was	
463	~before I was born."	
464	"Okay."	
465	"Uh oh.  I'll bet that's Professor	
466	~Pyro again.  I had better go see	
467	~what happened.  You stay here."	
468	"Neat . . ."	
469	"Not so neat!"	
470	"Pretty . . ."	
471	"Hi! My names's Rex!"	
472	"Rex, huh?"	
473	"What a manly little name."	
474	"It's been nice talking to you!"	
475	"Come on, I just want to talk."	
476	"Have a nice day . . ."	
477	"Understand what I'm sayin'?"	
478	"Bug off, babe!"	
479	"Why not pull up a stool?"	
480	"Thanks for	
481	fixing mine, Helga."	
482	"You want a mixed	
483	drink or a bottle?"	
484	"What'll it be?"	
485	"What'll ya have?"	
486	"What can I make for you?"	
487	"Nope.  Don't know	
488	how to mix that."	
489	"What?!	
490	Try something normal."	
491	"Never heard of it."	
492	"O.K., what do you want?"	
493	"That'll be 75 kelders.	
494	Cash or charge?"	
495	"What do you want now?"	
496	"Wash dishes?	
497	We don't wash dishes here.	
498	Now get lost, you vagrant!"	
499	"No problem."	
500	"What!?  Sorry, but	
501	we don't barter here."	
502	"Will you give it up already?	
503	No trinkets.  Cash or charge!"	
504	"O.K., pal.  Whatever."	
505	"No way, pal.  One bottle	
506	of that stuff should	
507	last you a week.  Beat it."	
508	"I said beat it!"	
509	"Fine with me."	
510	"What a pain."	
511	"I hate these	
512	screwy machines."	
513	"Soon as ya fix' em,	
514	they break again."	
515	"It may need	
516	a little more work."	
517	"I got a whole list	
518	of broken teleporters	
519	that need to	
520	get fixed first."	
