ENDING4.TXR.87	\t  @ KEN RACE	
ENDING4.TXR.88	\t  @ CINDY LANG-BACHUR	
ENDING4.TXR.89	\t  @ KEVIN BOEHM	
ENDING4.TXR.90	\t  @ ANNE-MARIE COX	
ENDING4.TXR.91	\t  @ JACKIE ROSS	
ENDING4.TXR.92	\t  @ PATRICK DOWNEY	
ENDING4.TXR.93	\t  @ KENN (again)	
ENDING4.TXR.95	3-D Animation @ MATT GRUSON	
ENDING4.TXR.96	\t      @ ANDY LAKEN	
ENDING4.TXR.98	3-D Models @ FRANK VIVIRITO	
ENDING4.TXR.99	\t   @ ANDY LAKEN	
ENDING4.TXR.100	\t   @ GINNY SCHMIDT	
ENDING4.TXR.101	\t   @ MAX REMINGTON	
ENDING4.TXR.103	Lead Rotoscope Engineer	
ENDING4.TXR.104	CHARLES SHENTON	
ENDING4.TXR.106	Rotoscoping and Image Processing Tools	
ENDING4.TXR.107	MATT GRUSON	
ENDING4.TXR.109	Rotoscope Modeling @ DREW WILLIAMS	
ENDING4.TXR.110	\t\t   @ BONNIE SHEEKS	
ENDING4.TXR.111	\t\t   @ CLAIRE BAGBY	
ENDING4.TXR.112	\t\t   @ CINDY LANG-BACHUR	
ENDING4.TXR.113	\t\t   @ GINNY SCHMIDT	
ENDING4.TXR.114	\t\t   @ FRANK FRAZIER	
ENDING4.TXR.115	\t\t   @ SARAH FRAZIER	
ENDING4.TXR.116	\t\t   @ NICHOLAS RUSKO-BERGER	
ENDING4.TXR.117	\t\t   @ IRIS IDOKOGI	
ENDING4.TXR.118	\t\t   @ ANNE-MARIE COX	
ENDING4.TXR.119	\t\t   @ MIKE GIBSON	
ENDING4.TXR.121	Assistant to Mr. Nebular	
ENDING4.TXR.122	MURRAY TAYLOR	
ENDING4.TXR.124	Assistant to Ms. Nebular	
ENDING4.TXR.125	VICKI FORD	
ENDING4.TXR.127	Mr. Nebular's Stunt Double	
ENDING4.TXR.128	KEN RACE	
ENDING4.TXR.130	Colonel Stone's Stunt Double	
ENDING4.TXR.131	JOE HELLESEN	
ENDING4.TXR.133	Interface Animation Scripts	
ENDING4.TXR.134	MIKE GIBSON	
ENDING4.TXR.135	NICHOLAS RUSKO-BERGER	
ENDING4.TXR.140	THE DEVELOPMENT TEAM	
ENDING4.TXR.142	Lead Programmer & Technical Director	
ENDING4.TXR.143	BRIAN REYNOLDS	
ENDING4.TXR.145	Applications Programming @ GINNY SCHMIDT	
ENDING4.TXR.146	\t\t\t @ PAUL LAHAISE	
ENDING4.TXR.148	MADS System Design @ MATT GRUSON	
ENDING4.TXR.149	\t\t   @ BRIAN REYNOLDS	
ENDING4.TXR.151	MADS System Engineering	
ENDING4.TXR.152	BRIAN REYNOLDS	
ENDING4.TXR.154	MicroProse Installation Utility	
ENDING4.TXR.155	BRIAN REYNOLDS	
ENDING4.TXR.157	Alchemist @ DAVID McKIBBIN	
ENDING4.TXR.159	Programming Tidbits @ DETMAR PETERKE	
ENDING4.TXR.160	\t\t    @ SCOTT PATTERSON	
ENDING4.TXR.162	Hardware Maintenance @ MIKE GOMEZ	
ENDING4.TXR.163	\t\t     @ SAL VITALE	
ENDING4.TXR.167	THE SOUND TEAM	
ENDING4.TXR.169	Sound Department Management	
ENDING4.TXR.170	KEN LAGACE	
ENDING4.TXR.172	Music Composed By	
ENDING4.TXR.173	JEFFERY L. BRIGGS	
ENDING4.TXR.175	Sound Programming @ KEN LAGACE	
ENDING4.TXR.176	\t\t  @ JIM McCONKEY	
ENDING4.TXR.177	\t\t  @ ROLAND RIZZO	
ENDING4.TXR.178	\t\t  @ SCOTT PATTERSON	
ENDING4.TXR.180	Foley Editor @ JIM McCONKEY	
ENDING4.TXR.182	Voice Track Editor @ SCOTT PATTERSON	
ENDING4.TXR.184	Voice Acting @ GREG KEMPER	
ENDING4.TXR.185	\t     @ PAUL ELLIS	
ENDING4.TXR.186	\t     @ SHANNON HEPBURN	
ENDING4.TXR.188	Blood Curdling Screams @ BRIAN and MATT	
ENDING4.TXR.193	THE QUALITY ASSURANCE TEAM	
ENDING4.TXR.195	Q.A. Management @ AL ROIREAU	
ENDING4.TXR.196	\t\t@ MICHAEL CRAIGHEAD	
ENDING4.TXR.198	Lead Tester @ FRANK BROWN	
ENDING4.TXR.200	Playtesting @ BILL BURTON	
ENDING4.TXR.201	\t    @ ANDY MAZUREK	
ENDING4.TXR.202	\t    @ DAVE ELLIS	
ENDING4.TXR.203	\t    @ MIKE CORCORAN	
ENDING4.TXR.204	\t    @ MIKE REA	
ENDING4.TXR.205	\t    @ MICHAEL CRAIGHEAD	
ENDING4.TXR.206	\t    @ AL ROIREAU	
ENDING4.TXR.207	\t    @ DAVE OSBORN	
ENDING4.TXR.208	\t    @ HARRY TEASLEY	
ENDING4.TXR.209	\t    @ TED MARKLEY	
ENDING4.TXR.210	\t    @ VAUGHN THOMAS	
ENDING4.TXR.211	\t    @ SALLY STALCUP	
ENDING4.TXR.212	\t    @ MICHELE ROIREAU	
ENDING4.TXR.213	\t    @ DIETZEL BROWN	
ENDING4.TXR.218	THE MARKETING TEAM	
ENDING4.TXR.220	Rex Nebular Project Manager	
ENDING4.TXR.221	MONIQUE CARON	
ENDING4.TXR.223	Marketing Emperor	
ENDING4.TXR.224	GERRY BLAIR	
ENDING4.TXR.226	Marketing Director	
ENDING4.TXR.227	DEBBIE CHEEK	
ENDING4.TXR.229	Marketing Services Director	
ENDING4.TXR.230	MARY HERRON	
ENDING4.TXR.232	Marketing Services Coordinator	
ENDING4.TXR.233	BRENDA BLOOMFIELD	
ENDING4.TXR.235	Art Director @ JOHN EMORY	
ENDING4.TXR.237	Package Cover Art @ ERIC OLSON	
ENDING4.TXR.239	Package Design @ JOHN EMORY	
ENDING4.TXR.240	\t       @ MOSHE MILICH	
ENDING4.TXR.242	Advertising Placement @ LINDSAY RIEHL	
ENDING4.TXR.244	Direct Mail Projects @ LINDSAY RIEHL	
ENDING4.TXR.245	\t\t     @ ED KELLY	
ENDING4.TXR.247	Package and Advertising Copy	
ENDING4.TXR.248	KEN HOHMAN	
ENDING4.TXR.250	Advertising Design @ FINLEY WEATHERFORD	
ENDING4.TXR.252	Newsletter Coverage @ GARY ALMES	
ENDING4.TXR.254	800 Sales @ KAREN REITER	
ENDING4.TXR.255	\t  @ TERI HAYWARD	
ENDING4.TXR.257	Rex's Log and Manual Design	
ENDING4.TXR.258	IRIS IDOKOGI	
ENDING4.TXR.259	JOE MOREL	
ENDING4.TXR.261	Rex's Log Illustrations @ MARK GLIDDEN	
ENDING4.TXR.263	Public Relations @ KATHY GILMORE	
ENDING4.TXR.268	No animals were hurt, maimed, squashed, mutilated,	
ENDING4.TXR.269	run through garbage disposers, shredded, used to	
ENDING4.TXR.270	test trash compactors, or otherwise damaged during	
ENDING4.TXR.271	production of this game.  Honest.	
ENDING4.TXR.273	(CC) Closed Captioned for the sound card impaired.	
QUOTES.TXR.11	Selected Quotes From The	
QUOTES.TXR.12	REX NEBULAR	
QUOTES.TXR.13	Development Team	
QUOTES.TXR.17	"Does room 309 have guard chunks or	
QUOTES.TXR.18	 monster chunks on the floor?"	
QUOTES.TXR.19	\t     -- @Mike Gibson	
QUOTES.TXR.21	"Conveniently, the bloody chunks fly	
QUOTES.TXR.22	 into the next room."	
