ENDING1.TXR.198	Playtesting @ BILL BURTON	
ENDING1.TXR.199	\t    @ ANDY MAZUREK	
ENDING1.TXR.200	\t    @ DAVE ELLIS	
ENDING1.TXR.201	\t    @ MIKE CORCORAN	
ENDING1.TXR.202	\t    @ MIKE REA	
ENDING1.TXR.203	\t    @ MICHAEL CRAIGHEAD	
ENDING1.TXR.204	\t    @ AL ROIREAU	
ENDING1.TXR.205	\t    @ DAVE OSBORN	
ENDING1.TXR.206	\t    @ HARRY TEASLEY	
ENDING1.TXR.207	\t    @ TED MARKLEY	
ENDING1.TXR.208	\t    @ VAUGHN THOMAS	
ENDING1.TXR.209	\t    @ SALLY STALCUP	
ENDING1.TXR.210	\t    @ MICHELE ROIREAU	
ENDING1.TXR.211	\t    @ DIETZEL BROWN	
ENDING1.TXR.216	THE MARKETING TEAM	
ENDING1.TXR.218	Rex Nebular Project Manager	
ENDING1.TXR.219	MONIQUE CARON	
ENDING1.TXR.221	Marketing Emperor	
ENDING1.TXR.222	GERRY BLAIR	
ENDING1.TXR.224	Marketing Director	
ENDING1.TXR.225	DEBBIE CHEEK	
ENDING1.TXR.227	Marketing Services Director	
ENDING1.TXR.228	MARY HERRON	
ENDING1.TXR.230	Marketing Services Coordinator	
ENDING1.TXR.231	BRENDA BLOOMFIELD	
ENDING1.TXR.233	Art Director @ JOHN EMORY	
ENDING1.TXR.235	Package Cover Art @ ERIC OLSON	
ENDING1.TXR.237	Package Design @ JOHN EMORY	
ENDING1.TXR.238	\t       @ MOSHE MILICH	
ENDING1.TXR.240	Advertising Placement @ LINDSAY RIEHL	
ENDING1.TXR.242	Direct Mail Projects @ LINDSAY RIEHL	
ENDING1.TXR.243	\t\t     @ ED KELLY	
ENDING1.TXR.245	Package and Advertising Copy	
ENDING1.TXR.246	KEN HOHMAN	
ENDING1.TXR.248	Advertising Design @ FINLEY WEATHERFORD	
ENDING1.TXR.250	Newsletter Coverage @ GARY ALMES	
ENDING1.TXR.252	800 Sales @ KAREN REITER	
ENDING1.TXR.253	\t  @ TERI HAYWARD	
ENDING1.TXR.255	Rex's Log and Manual Design	
ENDING1.TXR.256	IRIS IDOKOGI	
ENDING1.TXR.257	JOE MOREL	
ENDING1.TXR.259	Rex's Log Illustrations @ MARK GLIDDEN	
ENDING1.TXR.261	Public Relations @ KATHY GILMORE	
ENDING1.TXR.266	No animals were hurt, maimed, squashed, mutilated,	
ENDING1.TXR.267	run through garbage disposers, shredded, used to	
ENDING1.TXR.268	test trash compactors, or otherwise damaged during	
ENDING1.TXR.269	production of this game.  Honest.	
ENDING1.TXR.271	(CC) Closed Captioned for the sound card impaired.	
ENDING2.TXR.7	EPILOGUE	
ENDING2.TXR.8	"An Honorable Death"	
ENDING2.TXR.10	You pull on the throttle and zoom	
ENDING2.TXR.11	out into space, flush with your	
ENDING2.TXR.12	recent victory.  Unfortunately,	
ENDING2.TXR.13	Major Karg still lies in wait for	
ENDING2.TXR.14	you.  This time, she doesn't plan	
ENDING2.TXR.15	to miss.	
ENDING2.TXR.17	Her first volley bounces harmlessly	
ENDING2.TXR.18	off your shields, and you realize	
ENDING2.TXR.19	that installing that spare shield	
ENDING2.TXR.20	modulator has just saved your life.	
ENDING2.TXR.22	You quickly return fire, hoping to	
ENDING2.TXR.23	create a distraction and slip past	
ENDING2.TXR.24	the dreadnought.  Since you didn't	
ENDING2.TXR.25	have time to repair the targeting	
ENDING2.TXR.26	computer, however, you are forced	
ENDING2.TXR.27	to rely entirely on manual sighting--	
ENDING2.TXR.28	an area in which you never excelled.	
ENDING2.TXR.30	Apparently, you can't hit the broad	
ENDING2.TXR.31	side of a barn.	
ENDING2.TXR.33	Karg's second volley penetrates	
ENDING2.TXR.34	through to the hyperdrive core and	
ENDING2.TXR.35	causes a nifty-looking explosion.	
ENDING2.TXR.37	THE END.	
ENDING2.TXR.43	Dang.	
ENDING2.TXR.58	[color1=0,45,45]Produced and Designed by	
ENDING2.TXR.59	MATT GRUSON	
ENDING2.TXR.61	Executive Producer	
ENDING2.TXR.62	TED MARKLEY	
ENDING2.TXR.64	Lead Programmer & Technical Director	
ENDING2.TXR.65	BRIAN REYNOLDS	
ENDING2.TXR.67	Art Director	
