CREDITS.TXR.207	Direct Mail Projects @ LINDSAY RIEHL	
CREDITS.TXR.208	\t\t     @ ED KELLY	
CREDITS.TXR.210	Package and Advertising Copy	
CREDITS.TXR.211	KEN HOHMAN	
CREDITS.TXR.213	Advertising Design @ FINLEY WEATHERFORD	
CREDITS.TXR.215	Newsletter Coverage @ GARY ALMES	
CREDITS.TXR.217	800 Sales @ KAREN REITER	
CREDITS.TXR.218	\t  @ TERI HAYWARD	
CREDITS.TXR.220	Rex's Log and Manual Design	
CREDITS.TXR.221	IRIS IDOKOGI	
CREDITS.TXR.222	JOE MOREL	
CREDITS.TXR.224	Rex's Log Illustrations @ MARK GLIDDEN	
CREDITS.TXR.226	Public Relations @ KATHY GILMORE	
CREDITS.TXR.231	No animals were hurt, maimed, squashed, mutilated,	
CREDITS.TXR.232	run through garbage disposers, shredded, used to	
CREDITS.TXR.233	test trash compactors, or otherwise damaged during	
CREDITS.TXR.234	production of this game.  Honest.	
CREDITS.TXR.236	(CC) Closed Captioned for the sound card impaired.	
ENDING1.TXR.7	EPILOGUE	
ENDING1.TXR.8	"A Quick Death"	
ENDING1.TXR.10	You pull on the throttle and zoom	
ENDING1.TXR.11	out into space, flush with your	
ENDING1.TXR.12	recent victory.  Unfortunately,	
ENDING1.TXR.13	Major Karg still lies in wait for	
ENDING1.TXR.14	you.  This time, she scores a	
ENDING1.TXR.15	direct hit.	
ENDING1.TXR.17	Too bad you couldn't find a replacement	
ENDING1.TXR.18	card for that shield modulator slot.	
ENDING1.TXR.20	THE END.	
ENDING1.TXR.27	Fool.	
ENDING1.TXR.40	[color1=0,45,45]Produced and Designed by	
ENDING1.TXR.41	MATT GRUSON	
ENDING1.TXR.43	Executive Producer	
ENDING1.TXR.44	TED MARKLEY	
ENDING1.TXR.46	Lead Programmer & Technical Director	
ENDING1.TXR.47	BRIAN REYNOLDS	
ENDING1.TXR.49	Art Director	
ENDING1.TXR.50	KENN NISHIUYE	
ENDING1.TXR.52	Music By	
ENDING1.TXR.53	JEFFERY L. BRIGGS	
ENDING1.TXR.58	THE DESIGN TEAM	
ENDING1.TXR.60	Game Design @ MATT GRUSON	
ENDING1.TXR.61	\t    @ JEFF CHARLEBOIS	
ENDING1.TXR.62	\t    @ TED MARKLEY	
ENDING1.TXR.64	Rex's Log Text @ STEVE MERETZKY	
ENDING1.TXR.66	Manual Text @ DOUG KAUFMAN	
ENDING1.TXR.68	Game Text @ JEFF CHARLEBOIS	
ENDING1.TXR.69	\t  @ MATT GRUSON	
ENDING1.TXR.70	\t  @ BRIAN REYNOLDS	
ENDING1.TXR.75	THE ART TEAM	
ENDING1.TXR.77	Art Director @ KENN NISHIUYE	
ENDING1.TXR.79	Painting @ MIKE GIBSON (Lead)	
ENDING1.TXR.80	\t @ NICHOLAS RUSKO-BERGER	
ENDING1.TXR.81	\t @ KENN NISHIUYE	
ENDING1.TXR.83	Animation @ FRANK FRAZIER (Lead)	
ENDING1.TXR.84	\t  @ CHARLES SHENTON	
ENDING1.TXR.85	\t  @ KEN RACE	
ENDING1.TXR.86	\t  @ CINDY LANG-BACHUR	
ENDING1.TXR.87	\t  @ KEVIN BOEHM	
ENDING1.TXR.88	\t  @ ANNE-MARIE COX	
ENDING1.TXR.89	\t  @ JACKIE ROSS	
ENDING1.TXR.90	\t  @ PATRICK DOWNEY	
ENDING1.TXR.91	\t  @ KENN (again)	
ENDING1.TXR.93	3-D Animation @ MATT GRUSON	
