CREDITS.TXR.207	Direct Mail Projects @ LINDSAY RIEHL	直效郵件企劃 @ LINDSAY RIEHL
CREDITS.TXR.208	\t\t     @ ED KELLY	\t\t     @ ED KELLY
CREDITS.TXR.210	Package and Advertising Copy	包裝與廣告文案
CREDITS.TXR.211	KEN HOHMAN	KEN HOHMAN
CREDITS.TXR.213	Advertising Design @ FINLEY WEATHERFORD	廣告設計 @ FINLEY WEATHERFORD
CREDITS.TXR.215	Newsletter Coverage @ GARY ALMES	媒體報導 @ GARY ALMES
CREDITS.TXR.217	800 Sales @ KAREN REITER	800 專線銷售 @ KAREN REITER
CREDITS.TXR.218	\t  @ TERI HAYWARD	\t  @ TERI HAYWARD
CREDITS.TXR.220	Rex's Log and Manual Design	雷克斯船長日誌與說明手冊設計
CREDITS.TXR.221	IRIS IDOKOGI	IRIS IDOKOGI
CREDITS.TXR.222	JOE MOREL	JOE MOREL
CREDITS.TXR.224	Rex's Log Illustrations @ MARK GLIDDEN	雷克斯船長日誌插圖 @ MARK GLIDDEN
CREDITS.TXR.226	Public Relations @ KATHY GILMORE	公共關係 @ KATHY GILMORE
CREDITS.TXR.231	No animals were hurt, maimed, squashed, mutilated,	製作本遊戲期間，沒有任何動物
CREDITS.TXR.232	run through garbage disposers, shredded, used to	受傷、致殘、被壓扁、被凌虐、
CREDITS.TXR.233	test trash compactors, or otherwise damaged during	被丟進垃圾絞碎機、被拿去
CREDITS.TXR.234	production of this game.  Honest.	測試壓縮機，或以其他方式弄傷。真的。
CREDITS.TXR.236	(CC) Closed Captioned for the sound card impaired.	（CC）為音效卡故障的玩家提供字幕。
ENDING1.TXR.7	EPILOGUE	尾聲
ENDING1.TXR.8	"A Quick Death"	「暴斃收場」
ENDING1.TXR.10	You pull on the throttle and zoom	你一把扳下節流閥，
ENDING1.TXR.11	out into space, flush with your	帶著剛打贏的得意衝進太空，
ENDING1.TXR.12	recent victory.  Unfortunately,	沒想到
ENDING1.TXR.13	Major Karg still lies in wait for	卡爾格少校還埋伏在外頭
ENDING1.TXR.14	you.  This time, she scores a	等你，這次她一砲精準命中，
ENDING1.TXR.15	direct hit.	正中要害。
ENDING1.TXR.17	Too bad you couldn't find a replacement	真可惜，你一直找不到
ENDING1.TXR.18	card for that shield modulator slot.	能塞進護盾調變器插槽的替換卡。
ENDING1.TXR.20	THE END.	劇終。
ENDING1.TXR.27	Fool.	蠢蛋。
ENDING1.TXR.40	[color1=0,45,45]Produced and Designed by	[color1=0,45,45]製作與設計
ENDING1.TXR.41	MATT GRUSON	MATT GRUSON
ENDING1.TXR.43	Executive Producer	執行製作人
ENDING1.TXR.44	TED MARKLEY	TED MARKLEY
ENDING1.TXR.46	Lead Programmer & Technical Director	首席程式設計與技術總監
ENDING1.TXR.47	BRIAN REYNOLDS	BRIAN REYNOLDS
ENDING1.TXR.49	Art Director	美術指導
ENDING1.TXR.50	KENN NISHIUYE	KENN NISHIUYE
ENDING1.TXR.52	Music By	音樂
ENDING1.TXR.53	JEFFERY L. BRIGGS	JEFFERY L. BRIGGS
ENDING1.TXR.58	THE DESIGN TEAM	設計團隊
ENDING1.TXR.60	Game Design @ MATT GRUSON	遊戲設計 @ MATT GRUSON
ENDING1.TXR.61	\t    @ JEFF CHARLEBOIS	\t    @ JEFF CHARLEBOIS
ENDING1.TXR.62	\t    @ TED MARKLEY	\t    @ TED MARKLEY
ENDING1.TXR.64	Rex's Log Text @ STEVE MERETZKY	雷克斯船長日誌文字 @ STEVE MERETZKY
ENDING1.TXR.66	Manual Text @ DOUG KAUFMAN	說明手冊文字 @ DOUG KAUFMAN
ENDING1.TXR.68	Game Text @ JEFF CHARLEBOIS	遊戲文字 @ JEFF CHARLEBOIS
ENDING1.TXR.69	\t  @ MATT GRUSON	\t  @ MATT GRUSON
ENDING1.TXR.70	\t  @ BRIAN REYNOLDS	\t  @ BRIAN REYNOLDS
ENDING1.TXR.75	THE ART TEAM	美術團隊
ENDING1.TXR.77	Art Director @ KENN NISHIUYE	美術指導 @ KENN NISHIUYE
ENDING1.TXR.79	Painting @ MIKE GIBSON (Lead)	繪圖 @ MIKE GIBSON（首席）
ENDING1.TXR.80	\t @ NICHOLAS RUSKO-BERGER	\t @ NICHOLAS RUSKO-BERGER
ENDING1.TXR.81	\t @ KENN NISHIUYE	\t @ KENN NISHIUYE
ENDING1.TXR.83	Animation @ FRANK FRAZIER (Lead)	動畫 @ FRANK FRAZIER（首席）
ENDING1.TXR.84	\t  @ CHARLES SHENTON	\t  @ CHARLES SHENTON
ENDING1.TXR.85	\t  @ KEN RACE	\t  @ KEN RACE
ENDING1.TXR.86	\t  @ CINDY LANG-BACHUR	\t  @ CINDY LANG-BACHUR
